id,date,user,pc,activity
EVT-0000031,01/02/2023 08:46:24,U0007,PC-0161,Logon
EVT-0000032,01/02/2023 13:33:48,U0007,PC-0161,Logoff
EVT-0000033,01/02/2023 09:05:15,U0009,PC-0105,Logon
EVT-0000034,01/02/2023 14:19:38,U0009,PC-0105,Logoff
EVT-0000035,01/02/2023 06:49:44,U0009,PC-0155,Logon
EVT-0000036,01/02/2023 09:13:14,U0009,PC-0155,Logoff
EVT-0000037,01/02/2023 06:18:41,U0010,PC-0123,Logon
EVT-0000038,01/02/2023 10:06:46,U0010,PC-0123,Logoff
EVT-0000039,01/02/2023 07:40:38,U0011,PC-0007,Logon
EVT-0000040,01/02/2023 12:39:12,U0011,PC-0007,Logoff
EVT-0000041,01/02/2023 11:08:24,U0011,PC-0146,Logon
EVT-0000042,01/02/2023 14:45:22,U0011,PC-0146,Logoff
EVT-0000043,01/02/2023 06:48:30,U0013,PC-0002,Logon
EVT-0000044,01/02/2023 13:04:37,U0013,PC-0002,Logoff
EVT-0000045,01/02/2023 08:04:00,U0013,PC-0002,Logon
EVT-0000046,01/02/2023 11:42:09,U0013,PC-0002,Logoff
EVT-0000047,01/02/2023 11:25:32,U0015,PC-0182,Logon
EVT-0000048,01/02/2023 13:08:48,U0015,PC-0182,Logoff
EVT-0000049,01/02/2023 07:40:34,U0016,PC-0137,Logon
EVT-0000050,01/02/2023 12:36:48,U0016,PC-0137,Logoff
EVT-0000051,01/02/2023 08:05:32,U0016,PC-0137,Logon
EVT-0000052,01/02/2023 12:46:35,U0016,PC-0137,Logoff
EVT-0000053,01/02/2023 07:40:48,U0017,PC-0013,Logon
EVT-0000054,01/02/2023 11:13:43,U0017,PC-0013,Logoff
EVT-0000055,01/02/2023 07:54:15,U0019,PC-0045,Logon
EVT-0000056,01/02/2023 13:53:53,U0019,PC-0045,Logoff
EVT-0000057,01/02/2023 10:03:19,U0022,PC-0243,Logon
EVT-0000058,01/02/2023 15:53:19,U0022,PC-0243,Logoff
EVT-0000059,01/02/2023 07:00:45,U0022,PC-0243,Logon
EVT-0000060,01/02/2023 09:58:16,U0022,PC-0243,Logoff
EVT-0000061,01/02/2023 10:33:33,U0023,PC-0126,Logon
EVT-0000062,01/02/2023 18:47:52,U0023,PC-0126,Logoff
EVT-0000063,01/02/2023 08:49:55,U0024,PC-0218,Logon
EVT-0000064,01/02/2023 13:44:07,U0024,PC-0218,Logoff
EVT-0000065,01/02/2023 10:01:21,U0024,PC-0218,Logon
EVT-0000066,01/02/2023 11:46:23,U0024,PC-0218,Logoff
EVT-0000067,01/02/2023 07:36:40,U0026,PC-0234,Logon
EVT-0000068,01/02/2023 11:22:40,U0026,PC-0234,Logoff
EVT-0000069,01/02/2023 07:54:36,U0026,PC-0123,Logon
EVT-0000070,01/02/2023 11:51:51,U0026,PC-0123,Logoff
EVT-0000071,01/02/2023 08:36:43,U0028,PC-0300,Logon
EVT-0000072,01/02/2023 13:32:36,U0028,PC-0300,Logoff
EVT-0000073,01/02/2023 08:54:55,U0029,PC-0024,Logon
EVT-0000074,01/02/2023 12:46:19,U0029,PC-0024,Logoff
EVT-0000075,01/02/2023 06:11:59,U0030,PC-0202,Logon
EVT-0000076,01/02/2023 13:35:32,U0030,PC-0202,Logoff
EVT-0000077,01/02/2023 11:45:47,U0030,PC-0202,Logon
EVT-0000078,01/02/2023 16:33:27,U0030,PC-0202,Logoff
EVT-0000079,01/02/2023 07:46:20,U0031,PC-0195,Logon
EVT-0000080,01/02/2023 13:38:23,U0031,PC-0195,Logoff
EVT-0000081,01/02/2023 07:43:57,U0032,PC-0115,Logon
EVT-0000082,01/02/2023 11:17:39,U0032,PC-0115,Logoff
EVT-0000083,01/02/2023 09:29:55,U0033,PC-0132,Logon
EVT-0000084,01/02/2023 13:17:00,U0033,PC-0132,Logoff
EVT-0000085,01/02/2023 07:00:23,U0034,PC-0102,Logon
EVT-0000086,01/02/2023 13:15:04,U0034,PC-0102,Logoff
EVT-0000087,01/02/2023 07:39:15,U0034,PC-0102,Logon
EVT-0000088,01/02/2023 10:59:23,U0034,PC-0102,Logoff
EVT-0000089,01/02/2023 11:46:57,U0035,PC-0216,Logon
EVT-0000090,01/02/2023 15:44:03,U0035,PC-0216,Logoff
EVT-0000091,01/02/2023 08:59:26,U0035,PC-0278,Logon
EVT-0000092,01/02/2023 11:53:43,U0035,PC-0278,Logoff
EVT-0000093,01/02/2023 06:00:21,U0036,PC-0193,Logon
EVT-0000094,01/02/2023 07:41:12,U0036,PC-0193,Logoff
EVT-0000095,01/02/2023 09:06:13,U0036,PC-0276,Logon
EVT-0000096,01/02/2023 10:29:01,U0036,PC-0276,Logoff
EVT-0000097,01/02/2023 06:09:45,U0037,PC-0195,Logon
EVT-0000098,01/02/2023 12:37:25,U0037,PC-0195,Logoff
EVT-0000099,01/02/2023 11:33:26,U0038,PC-0142,Logon
EVT-0000100,01/02/2023 13:31:53,U0038,PC-0142,Logoff
EVT-0000101,01/02/2023 06:37:06,U0039,PC-0252,Logon
EVT-0000102,01/02/2023 11:28:30,U0039,PC-0252,Logoff
EVT-0000103,01/02/2023 07:37:36,U0039,PC-0067,Logon
EVT-0000104,01/02/2023 10:06:21,U0039,PC-0067,Logoff
EVT-0000105,01/02/2023 07:59:51,U0040,PC-0243,Logon
EVT-0000106,01/02/2023 15:45:59,U0040,PC-0243,Logoff
EVT-0000107,01/02/2023 08:04:12,U0041,PC-0275,Logon
EVT-0000108,01/02/2023 13:31:11,U0041,PC-0275,Logoff
EVT-0000109,01/02/2023 08:06:10,U0041,PC-0275,Logon
EVT-0000110,01/02/2023 11:08:58,U0041,PC-0275,Logoff
EVT-0000111,01/02/2023 06:49:13,U0042,PC-0092,Logon
EVT-0000112,01/02/2023 12:11:37,U0042,PC-0092,Logoff
EVT-0000113,01/02/2023 06:05:10,U0042,PC-0092,Logon
EVT-0000114,01/02/2023 10:58:45,U0042,PC-0092,Logoff
EVT-0000115,01/02/2023 09:02:13,U0043,PC-0252,Logon
EVT-0000116,01/02/2023 10:17:45,U0043,PC-0252,Logoff
EVT-0000117,01/02/2023 08:15:22,U0043,PC-0252,Logon
EVT-0000118,01/02/2023 13:01:42,U0043,PC-0252,Logoff
EVT-0000119,01/02/2023 07:11:01,U0044,PC-0034,Logon
EVT-0000120,01/02/2023 09:47:26,U0044,PC-0034,Logoff
EVT-0000121,01/02/2023 06:06:29,U0045,PC-0116,Logon
EVT-0000122,01/02/2023 09:14:15,U0045,PC-0116,Logoff
EVT-0000123,01/02/2023 08:03:53,U0045,PC-0116,Logon
EVT-0000124,01/02/2023 11:05:06,U0045,PC-0116,Logoff
EVT-0000125,01/02/2023 10:23:43,U0047,PC-0150,Logon
EVT-0000126,01/02/2023 17:07:22,U0047,PC-0150,Logoff
EVT-0000127,01/02/2023 07:52:04,U0048,PC-0034,Logon
EVT-0000128,01/02/2023 11:06:08,U0048,PC-0034,Logoff
EVT-0000129,01/02/2023 09:08:05,U0049,PC-0148,Logon
EVT-0000130,01/02/2023 11:53:23,U0049,PC-0148,Logoff
EVT-0000131,01/02/2023 11:03:10,U0050,PC-0021,Logon
EVT-0000132,01/02/2023 18:22:39,U0050,PC-0021,Logoff
EVT-0000133,01/02/2023 06:31:01,U0050,PC-0021,Logon
EVT-0000134,01/02/2023 11:49:34,U0050,PC-0021,Logoff
EVT-0000135,01/02/2023 08:11:17,U0051,PC-0090,Logon
EVT-0000136,01/02/2023 13:25:05,U0051,PC-0090,Logoff
EVT-0000137,01/02/2023 08:39:39,U0051,PC-0090,Logon
EVT-0000138,01/02/2023 12:18:20,U0051,PC-0090,Logoff
EVT-0000139,01/02/2023 06:30:03,U0052,PC-0197,Logon
EVT-0000140,01/02/2023 10:31:46,U0052,PC-0197,Logoff
EVT-0000141,01/02/2023 09:56:51,U0052,PC-0083,Logon
EVT-0000142,01/02/2023 14:57:37,U0052,PC-0083,Logoff
EVT-0000143,01/02/2023 11:22:30,U0054,PC-0148,Logon
EVT-0000144,01/02/2023 15:08:34,U0054,PC-0148,Logoff
EVT-0000145,01/02/2023 07:20:24,U0057,PC-0283,Logon
EVT-0000146,01/02/2023 13:29:06,U0057,PC-0283,Logoff
EVT-0000147,01/02/2023 10:01:57,U0057,PC-0283,Logon
EVT-0000148,01/02/2023 14:28:19,U0057,PC-0283,Logoff
EVT-0000149,01/02/2023 12:33:22,U0058,PC-0078,Logon
EVT-0000150,01/02/2023 18:46:46,U0058,PC-0078,Logoff
EVT-0000151,01/02/2023 12:06:15,U0058,PC-0078,Logon
EVT-0000152,01/02/2023 16:05:26,U0058,PC-0078,Logoff
EVT-0000153,01/02/2023 06:47:03,U0059,PC-0074,Logon
EVT-0000154,01/02/2023 10:02:25,U0059,PC-0074,Logoff
EVT-0000155,01/02/2023 10:51:24,U0059,PC-0074,Logon
EVT-0000156,01/02/2023 14:00:47,U0059,PC-0074,Logoff
EVT-0000157,01/02/2023 09:51:47,U0060,PC-0163,Logon
EVT-0000158,01/02/2023 16:15:33,U0060,PC-0163,Logoff
EVT-0000159,01/02/2023 08:36:36,U0061,PC-0086,Logon
EVT-0000160,01/02/2023 10:49:37,U0061,PC-0086,Logoff
EVT-0000161,01/02/2023 09:31:34,U0062,PC-0211,Logon
EVT-0000162,01/02/2023 10:24:24,U0062,PC-0211,Logoff
EVT-0000163,01/02/2023 08:38:14,U0063,PC-0245,Logon
EVT-0000164,01/02/2023 12:47:52,U0063,PC-0245,Logoff
EVT-0000165,01/02/2023 11:12:51,U0063,PC-0236,Logon
EVT-0000166,01/02/2023 15:14:00,U0063,PC-0236,Logoff
EVT-0000167,01/02/2023 11:20:03,U0064,PC-0073,Logon
EVT-0000168,01/02/2023 13:27:00,U0064,PC-0073,Logoff
EVT-0000169,01/02/2023 10:04:23,U0065,PC-0290,Logon
EVT-0000170,01/02/2023 10:48:35,U0065,PC-0290,Logoff
EVT-0000171,01/02/2023 07:20:08,U0066,PC-0071,Logon
EVT-0000172,01/02/2023 10:24:12,U0066,PC-0071,Logoff
EVT-0000173,01/02/2023 08:40:31,U0066,PC-0071,Logon
EVT-0000174,01/02/2023 10:32:42,U0066,PC-0071,Logoff
EVT-0000175,01/02/2023 07:56:59,U0067,PC-0277,Logon
EVT-0000176,01/02/2023 09:28:20,U0067,PC-0277,Logoff
EVT-0000177,01/02/2023 08:11:24,U0068,PC-0039,Logon
EVT-0000178,01/02/2023 14:49:09,U0068,PC-0039,Logoff
EVT-0000179,01/02/2023 08:46:00,U0068,PC-0039,Logon
EVT-0000180,01/02/2023 11:47:59,U0068,PC-0039,Logoff
EVT-0000181,01/02/2023 10:36:02,U0069,PC-0135,Logon
EVT-0000182,01/02/2023 11:49:57,U0069,PC-0135,Logoff
EVT-0000183,01/02/2023 07:39:14,U0069,PC-0135,Logon
EVT-0000184,01/02/2023 14:57:46,U0069,PC-0135,Logoff
EVT-0000185,01/02/2023 09:47:04,U0072,PC-0186,Logon
EVT-0000186,01/02/2023 13:21:28,U0072,PC-0186,Logoff
EVT-0000187,01/02/2023 10:05:52,U0073,PC-0011,Logon
EVT-0000188,01/02/2023 17:43:05,U0073,PC-0011,Logoff
EVT-0000189,01/02/2023 06:28:00,U0073,PC-0011,Logon
EVT-0000190,01/02/2023 07:15:57,U0073,PC-0011,Logoff
EVT-0000191,01/02/2023 08:50:06,U0074,PC-0076,Logon
EVT-0000192,01/02/2023 11:05:38,U0074,PC-0076,Logoff
EVT-0000193,01/02/2023 06:10:56,U0076,PC-0244,Logon
EVT-0000194,01/02/2023 12:18:57,U0076,PC-0244,Logoff
EVT-0000195,01/02/2023 07:53:30,U0078,PC-0281,Logon
EVT-0000196,01/02/2023 13:27:08,U0078,PC-0281,Logoff
EVT-0000197,01/02/2023 06:14:10,U0078,PC-0281,Logon
EVT-0000198,01/02/2023 08:38:55,U0078,PC-0281,Logoff
EVT-0000199,01/02/2023 08:06:04,U0079,PC-0111,Logon
EVT-0000200,01/02/2023 13:47:02,U0079,PC-0111,Logoff
EVT-0000201,01/02/2023 08:57:05,U0080,PC-0079,Logon
EVT-0000202,01/02/2023 13:37:14,U0080,PC-0079,Logoff
EVT-0000203,01/02/2023 11:45:01,U0080,PC-0079,Logon
EVT-0000204,01/02/2023 15:21:34,U0080,PC-0079,Logoff
EVT-0000205,01/02/2023 07:03:06,U0081,PC-0063,Logon
EVT-0000206,01/02/2023 09:43:08,U0081,PC-0063,Logoff
EVT-0000207,01/02/2023 06:59:46,U0082,PC-0056,Logon
EVT-0000208,01/02/2023 12:22:04,U0082,PC-0056,Logoff
EVT-0000209,01/02/2023 08:25:36,U0084,PC-0272,Logon
EVT-0000210,01/02/2023 13:17:06,U0084,PC-0272,Logoff
EVT-0000211,01/02/2023 07:00:27,U0084,PC-0246,Logon
EVT-0000212,01/02/2023 11:02:44,U0084,PC-0246,Logoff
EVT-0000213,01/02/2023 09:40:18,U0086,PC-0250,Logon
EVT-0000214,01/02/2023 14:27:04,U0086,PC-0250,Logoff
EVT-0000215,01/02/2023 09:25:30,U0087,PC-0004,Logon
EVT-0000216,01/02/2023 11:59:49,U0087,PC-0004,Logoff
EVT-0000217,01/02/2023 08:34:24,U0087,PC-0004,Logon
EVT-0000218,01/02/2023 11:49:55,U0087,PC-0004,Logoff
EVT-0000219,01/02/2023 07:16:28,U0088,PC-0010,Logon
EVT-0000220,01/02/2023 12:51:50,U0088,PC-0010,Logoff
EVT-0000221,01/02/2023 08:03:09,U0088,PC-0010,Logon
EVT-0000222,01/02/2023 13:36:59,U0088,PC-0010,Logoff
EVT-0000223,01/02/2023 09:34:26,U0089,PC-0236,Logon
EVT-0000224,01/02/2023 14:30:55,U0089,PC-0236,Logoff
EVT-0000225,01/02/2023 06:52:33,U0090,PC-0174,Logon
EVT-0000226,01/02/2023 09:36:31,U0090,PC-0174,Logoff
EVT-0000227,01/02/2023 07:19:05,U0092,PC-0091,Logon
EVT-0000228,01/02/2023 10:40:16,U0092,PC-0091,Logoff
EVT-0000229,01/02/2023 08:36:57,U0092,PC-0091,Logon
EVT-0000230,01/02/2023 12:11:36,U0092,PC-0091,Logoff
EVT-0000231,01/02/2023 10:11:10,U0093,PC-0029,Logon
EVT-0000232,01/02/2023 16:29:38,U0093,PC-0029,Logoff
EVT-0000233,01/02/2023 09:43:27,U0094,PC-0260,Logon
EVT-0000234,01/02/2023 15:13:09,U0094,PC-0260,Logoff
EVT-0000235,01/02/2023 09:58:46,U0095,PC-0176,Logon
EVT-0000236,01/02/2023 12:38:43,U0095,PC-0176,Logoff
EVT-0000237,01/02/2023 10:35:20,U0096,PC-0174,Logon
EVT-0000238,01/02/2023 15:54:53,U0096,PC-0174,Logoff
EVT-0000239,01/02/2023 08:44:39,U0098,PC-0066,Logon
EVT-0000240,01/02/2023 12:35:14,U0098,PC-0066,Logoff
EVT-0000241,01/02/2023 08:09:09,U0098,PC-0066,Logon
EVT-0000242,01/02/2023 11:11:40,U0098,PC-0066,Logoff
EVT-0000243,01/02/2023 10:06:50,U0099,PC-0249,Logon
EVT-0000244,01/02/2023 12:56:42,U0099,PC-0249,Logoff
EVT-0000245,01/02/2023 09:41:31,U0100,PC-0020,Logon
EVT-0000246,01/02/2023 12:36:16,U0100,PC-0020,Logoff
EVT-0000247,01/02/2023 07:25:09,U0100,PC-0020,Logon
EVT-0000248,01/02/2023 11:37:35,U0100,PC-0020,Logoff
EVT-0000249,01/02/2023 11:21:44,U0102,PC-0145,Logon
EVT-0000250,01/02/2023 16:22:30,U0102,PC-0145,Logoff
EVT-0000251,01/02/2023 08:57:23,U0102,PC-0156,Logon
EVT-0000252,01/02/2023 09:27:23,U0102,PC-0156,Logoff
EVT-0000253,01/02/2023 08:44:43,U0103,PC-0117,Logon
EVT-0000254,01/02/2023 15:01:46,U0103,PC-0117,Logoff
EVT-0000255,01/02/2023 11:28:49,U0103,PC-0064,Logon
EVT-0000256,01/02/2023 19:31:27,U0103,PC-0064,Logoff
EVT-0000257,01/02/2023 08:05:12,U0106,PC-0111,Logon
EVT-0000258,01/02/2023 09:23:05,U0106,PC-0111,Logoff
EVT-0000259,01/02/2023 09:31:48,U0106,PC-0111,Logon
EVT-0000260,01/02/2023 12:28:17,U0106,PC-0111,Logoff
EVT-0000261,01/02/2023 09:10:04,U0107,PC-0033,Logon
EVT-0000262,01/02/2023 10:59:47,U0107,PC-0033,Logoff
EVT-0000263,01/02/2023 07:54:33,U0107,PC-0033,Logon
EVT-0000264,01/02/2023 11:51:47,U0107,PC-0033,Logoff
EVT-0000265,01/02/2023 09:12:53,U0108,PC-0017,Logon
EVT-0000266,01/02/2023 16:50:07,U0108,PC-0017,Logoff
EVT-0000267,01/02/2023 09:12:17,U0109,PC-0009,Logon
EVT-0000268,01/02/2023 13:47:43,U0109,PC-0009,Logoff
EVT-0000269,01/02/2023 07:59:07,U0109,PC-0009,Logon
EVT-0000270,01/02/2023 12:26:01,U0109,PC-0009,Logoff
EVT-0000271,01/02/2023 07:11:55,U0110,PC-0090,Logon
EVT-0000272,01/02/2023 13:07:39,U0110,PC-0090,Logoff
EVT-0000273,01/02/2023 06:16:47,U0111,PC-0204,Logon
EVT-0000274,01/02/2023 13:26:38,U0111,PC-0204,Logoff
EVT-0000275,01/02/2023 08:03:10,U0111,PC-0204,Logon
EVT-0000276,01/02/2023 12:18:23,U0111,PC-0204,Logoff
EVT-0000277,01/02/2023 09:43:13,U0112,PC-0205,Logon
EVT-0000278,01/02/2023 11:27:43,U0112,PC-0205,Logoff
EVT-0000279,01/02/2023 06:49:43,U0114,PC-0068,Logon
EVT-0000280,01/02/2023 10:29:42,U0114,PC-0068,Logoff
EVT-0000281,01/02/2023 07:00:14,U0114,PC-0229,Logon
EVT-0000282,01/02/2023 08:50:12,U0114,PC-0229,Logoff
EVT-0000283,01/02/2023 07:17:27,U0115,PC-0074,Logon
EVT-0000284,01/02/2023 08:13:56,U0115,PC-0074,Logoff
EVT-0000285,01/02/2023 09:13:29,U0115,PC-0074,Logon
EVT-0000286,01/02/2023 11:26:39,U0115,PC-0074,Logoff
EVT-0000287,01/02/2023 08:42:53,U0118,PC-0038,Logon
EVT-0000288,01/02/2023 12:35:30,U0118,PC-0038,Logoff
EVT-0000289,01/02/2023 06:18:19,U0118,PC-0038,Logon
EVT-0000290,01/02/2023 09:17:39,U0118,PC-0038,Logoff
EVT-0000291,01/02/2023 12:40:20,U0119,PC-0090,Logon
EVT-0000292,01/02/2023 19:00:09,U0119,PC-0090,Logoff
EVT-0000293,01/02/2023 08:57:41,U0119,PC-0090,Logon
EVT-0000294,01/02/2023 16:06:19,U0119,PC-0090,Logoff
EVT-0000295,01/02/2023 07:03:51,U0120,PC-0283,Logon
EVT-0000296,01/02/2023 10:54:12,U0120,PC-0283,Logoff
EVT-0000297,01/02/2023 07:46:01,U0121,PC-0231,Logon
EVT-0000298,01/02/2023 09:12:35,U0121,PC-0231,Logoff
EVT-0000299,01/02/2023 09:26:25,U0121,PC-0231,Logon
EVT-0000300,01/02/2023 13:24:56,U0121,PC-0231,Logoff
EVT-0000301,01/02/2023 06:52:12,U0122,PC-0166,Logon
EVT-0000302,01/02/2023 07:38:25,U0122,PC-0166,Logoff
EVT-0000303,01/02/2023 07:30:58,U0124,PC-0016,Logon
EVT-0000304,01/02/2023 08:53:20,U0124,PC-0016,Logoff
EVT-0000305,01/02/2023 06:53:42,U0126,PC-0055,Logon
EVT-0000306,01/02/2023 10:43:02,U0126,PC-0055,Logoff
EVT-0000307,01/02/2023 08:08:47,U0126,PC-0055,Logon
EVT-0000308,01/02/2023 12:58:09,U0126,PC-0055,Logoff
EVT-0000309,01/02/2023 11:41:05,U0128,PC-0202,Logon
EVT-0000310,01/02/2023 14:16:51,U0128,PC-0202,Logoff
EVT-0000311,01/02/2023 08:50:56,U0129,PC-0275,Logon
EVT-0000312,01/02/2023 11:08:12,U0129,PC-0275,Logoff
EVT-0000313,01/02/2023 07:07:30,U0131,PC-0299,Logon
EVT-0000314,01/02/2023 09:58:53,U0131,PC-0299,Logoff
EVT-0000315,01/02/2023 06:30:56,U0131,PC-0050,Logon
EVT-0000316,01/02/2023 09:10:09,U0131,PC-0050,Logoff
EVT-0000317,01/02/2023 09:19:26,U0133,PC-0078,Logon
EVT-0000318,01/02/2023 11:52:24,U0133,PC-0078,Logoff
EVT-0000319,01/02/2023 09:36:57,U0134,PC-0158,Logon
EVT-0000320,01/02/2023 13:31:40,U0134,PC-0158,Logoff
EVT-0000321,01/02/2023 10:11:49,U0135,PC-0171,Logon
EVT-0000322,01/02/2023 17:19:01,U0135,PC-0171,Logoff
EVT-0000323,01/02/2023 07:40:03,U0135,PC-0141,Logon
EVT-0000324,01/02/2023 10:45:08,U0135,PC-0141,Logoff
EVT-0000325,01/02/2023 08:48:10,U0136,PC-0242,Logon
EVT-0000326,01/02/2023 11:35:25,U0136,PC-0242,Logoff
EVT-0000327,01/02/2023 09:27:25,U0137,PC-0136,Logon
EVT-0000328,01/02/2023 15:00:22,U0137,PC-0136,Logoff
EVT-0000329,01/02/2023 08:12:46,U0138,PC-0163,Logon
EVT-0000330,01/02/2023 12:35:02,U0138,PC-0163,Logoff
EVT-0000331,01/02/2023 09:53:33,U0138,PC-0163,Logon
EVT-0000332,01/02/2023 14:02:53,U0138,PC-0163,Logoff
EVT-0000333,01/02/2023 07:44:56,U0139,PC-0022,Logon
EVT-0000334,01/02/2023 10:40:04,U0139,PC-0022,Logoff
EVT-0000335,01/02/2023 09:19:10,U0141,PC-0024,Logon
EVT-0000336,01/02/2023 14:44:33,U0141,PC-0024,Logoff
EVT-0000337,01/02/2023 10:33:38,U0143,PC-0005,Logon
EVT-0000338,01/02/2023 13:51:30,U0143,PC-0005,Logoff
EVT-0000339,01/02/2023 06:08:21,U0143,PC-0005,Logon
EVT-0000340,01/02/2023 11:22:22,U0143,PC-0005,Logoff
EVT-0000341,01/02/2023 07:58:58,U0145,PC-0219,Logon
EVT-0000342,01/02/2023 12:58:56,U0145,PC-0219,Logoff
EVT-0000343,01/02/2023 09:08:13,U0145,PC-0219,Logon
EVT-0000344,01/02/2023 13:18:28,U0145,PC-0219,Logoff
EVT-0000345,01/02/2023 10:50:02,U0146,PC-0137,Logon
EVT-0000346,01/02/2023 17:02:11,U0146,PC-0137,Logoff
EVT-0000347,01/02/2023 08:38:03,U0147,PC-0160,Logon
EVT-0000348,01/02/2023 09:51:53,U0147,PC-0160,Logoff
EVT-0000349,01/02/2023 08:44:07,U0147,PC-0160,Logon
EVT-0000350,01/02/2023 12:24:25,U0147,PC-0160,Logoff
EVT-0000351,01/02/2023 09:44:09,U0148,PC-0276,Logon
EVT-0000352,01/02/2023 14:48:20,U0148,PC-0276,Logoff
EVT-0000353,01/02/2023 08:26:42,U0148,PC-0276,Logon
EVT-0000354,01/02/2023 12:11:36,U0148,PC-0276,Logoff
EVT-0000355,01/02/2023 06:26:53,U0150,PC-0262,Logon
EVT-0000356,01/02/2023 08:16:54,U0150,PC-0262,Logoff
EVT-0000357,01/02/2023 06:18:07,U0150,PC-0262,Logon
EVT-0000358,01/02/2023 10:06:00,U0150,PC-0262,Logoff
EVT-0000359,01/02/2023 08:16:53,U0151,PC-0158,Logon
EVT-0000360,01/02/2023 13:32:51,U0151,PC-0158,Logoff
EVT-0000361,01/02/2023 09:18:10,U0151,PC-0255,Logon
EVT-0000362,01/02/2023 16:16:42,U0151,PC-0255,Logoff
EVT-0000363,01/02/2023 07:15:00,U0152,PC-0046,Logon
EVT-0000364,01/02/2023 09:07:51,U0152,PC-0046,Logoff
EVT-0000365,01/02/2023 09:09:05,U0153,PC-0196,Logon
EVT-0000366,01/02/2023 10:35:37,U0153,PC-0196,Logoff
EVT-0000367,01/02/2023 08:16:41,U0155,PC-0058,Logon
EVT-0000368,01/02/2023 11:21:59,U0155,PC-0058,Logoff
EVT-0000369,01/02/2023 08:52:11,U0156,PC-0023,Logon
EVT-0000370,01/02/2023 13:30:29,U0156,PC-0023,Logoff
EVT-0000371,01/02/2023 09:43:20,U0156,PC-0023,Logon
EVT-0000372,01/02/2023 12:12:31,U0156,PC-0023,Logoff
EVT-0000373,01/02/2023 10:02:00,U0157,PC-0165,Logon
EVT-0000374,01/02/2023 15:55:39,U0157,PC-0165,Logoff
EVT-0000375,01/02/2023 06:39:17,U0158,PC-0090,Logon
EVT-0000376,01/02/2023 14:23:20,U0158,PC-0090,Logoff
EVT-0000377,01/02/2023 07:07:25,U0159,PC-0124,Logon
EVT-0000378,01/02/2023 12:26:18,U0159,PC-0124,Logoff
EVT-0000379,01/02/2023 08:54:30,U0160,PC-0170,Logon
EVT-0000380,01/02/2023 14:51:51,U0160,PC-0170,Logoff
EVT-0000381,01/02/2023 06:07:08,U0160,PC-0170,Logon
EVT-0000382,01/02/2023 07:14:42,U0160,PC-0170,Logoff
EVT-0000383,01/02/2023 11:06:26,U0161,PC-0246,Logon
EVT-0000384,01/02/2023 14:39:41,U0161,PC-0246,Logoff
EVT-0000385,01/02/2023 09:11:39,U0162,PC-0123,Logon
EVT-0000386,01/02/2023 10:20:33,U0162,PC-0123,Logoff
EVT-0000387,01/02/2023 08:43:56,U0162,PC-0123,Logon
EVT-0000388,01/02/2023 13:06:27,U0162,PC-0123,Logoff
EVT-0000389,01/02/2023 06:56:26,U0163,PC-0051,Logon
EVT-0000390,01/02/2023 11:11:10,U0163,PC-0051,Logoff
EVT-0000391,01/02/2023 08:45:55,U0165,PC-0132,Logon
EVT-0000392,01/02/2023 14:29:52,U0165,PC-0132,Logoff
EVT-0000393,01/02/2023 10:21:33,U0166,PC-0018,Logon
